50.143	78.571	47.562	45.447	85.777	54.023	0.85	-1	1	-1	-1	-1	-1
45.447	85.777	54.023	36.762	86.390	60.567	0.80	0	2	7	-1	-1	-1
36.762	86.390	60.567	29.092	86.962	62.064	0.65	1	3	14	-1	-1	-1
29.092	86.962	62.064	23.816	84.419	67.439	0.55	2	4	21	-1	-1	-1
23.816	84.419	67.439	21.265	80.600	70.221	0.45	3	5	-1	-1	-1	-1
21.265	80.600	70.221	18.350	77.221	70.730	0.40	4	6	-1	-1	-1	-1
18.350	77.221	70.730	15.598	73.696	70.057	0.35	5	-1	-1	-1	-1	-1
36.762	86.390	60.567	39.387	82.923	64.148	0.55	1	8	-1	-1	-1	-1
39.387	82.923	64.148	41.671	78.830	66.622	0.50	7	9	-1	-1	-1	-1
41.671	78.830	66.622	42.262	74.178	67.310	0.47	8	10	-1	-1	-1	-1
42.262	74.178	67.310	43.181	68.333	66.056	0.44	9	11	-1	-1	-1	-1
43.181	68.333	66.056	46.372	64.124	66.047	0.41	10	12	-1	-1	-1	-1
46.372	64.124	66.047	48.428	60.781	66.229	0.38	11	13	-1	-1	-1	-1
48.428	60.781	66.229	50.050	59.104	66.445	0.35	12	-1	-1	-1	-1	-1
29.092	86.962	62.064	28.272	88.351	61.113	0.45	2	15	27	-1	-1	-1
28.272	88.351	61.113	25.868 	92.536 	58.570	0.43	14	16	34	-1	-1	-1
25.868 	92.536 	58.570	20.783 	95.648 	55.983 	0.41	15	17	-1	-1	-1	-1
20.783 	95.648 	55.983	17.208 	99.094 	52.254	0.39	16	18	-1	-1	-1	-1
17.208 	99.094 	52.254	16.245 	103.980	48.455	0.37	17	19	-1	-1	-1	-1
16.245 	103.980	48.455	15.322 	107.963	46.914	0.36	18	20	-1	-1	-1	-1
15.322 	107.963	46.914	14.797 	110.558	47.402	0.35	19	-1	-1	-1	-1	-1
23.816	84.419	67.439	23.058	85.686	69.053	0.45	3	22	-1	-1	-1	-1
23.058	85.686	69.053	22.282	88.150	71.516	0.42	21	23	-1	-1	-1	-1
22.282	88.150	71.516	22.817	91.823	75.673	0.40	22	24	-1	-1	-1	-1
22.817	91.823	75.673	26.769	92.603	79.100	0.38	23	25	-1	-1	-1	-1
26.769	92.603	79.100	30.640	91.815	80.824	0.36	24	26	-1	-1	-1	-1
30.640	91.815	80.824	34.717	91.689	81.539	0.35	25	-1	-1	-1	-1	-1
28.272	88.351	61.113	25.928	87.043	58.402	0.40	14	28	-1	-1	-1	-1
25.928	87.043	58.402	23.203	85.273	56.281	0.40	27	29	-1	-1	-1	-1
23.203	85.273	56.281	20.056	83.184	54.654	0.39	28	30	-1	-1	-1	-1
20.056	83.184	54.654	17.559	80.599	53.331	0.38	29	31	-1	-1	-1	-1
17.559	80.599	53.331	14.011	76.833	52.892	0.37	30	32	-1	-1	-1	-1
14.011	76.833	52.892	11.394	73.389	51.338	0.36	31	33	-1	-1	-1	-1
11.394	73.389	51.338	9.717	70.784	50.787	0.35	32	-1	-1	-1	-1	-1
25.868 	92.536 	58.570	27.072	98.186	59.756	0.40	15	35	-1	-1	-1	-1
27.072	98.186	59.756	28.078	102.398	60.572	0.39	34	36	-1	-1	-1	-1
28.078	102.398	60.572	27.274 	106.379	59.410 	0.38	35	37	-1	-1	-1	-1
27.274 	106.379	59.410	26.523	109.864	60.108	0.37	36	38	-1	-1	-1	-1
26.523	109.864	60.108	25.828	113.090	61.854	0.36	37	39	-1	-1	-1	-1
25.828	113.090	61.854	26.456	115.167	66.818	0.35	38	-1	-1	-1	-1	-1
